num_stocks,max_stock_weight,top3_concentration,total_weight_drift,portfolio_return,portfolio_volatility,sector_concentration,days_since_last_rebalance,market_return_30d,market_volatility_30d,market_drawdown_90d,market_trend,rebalancing_label
7,0.452241,0.798838,0.740534,0.006054,0.000647,0.640801,85,0.016519,0.006557,-0.042401,1,0
13,0.105411,0.295953,0.165374,0.109344,0.006436,0.281268,69,0.073779,0.005915,-0.005965,1,1
21,0.061849,0.167893,0.077422,-0.010379,0.002694,0.293369,36,-0.004304,0.006874,-0.029211,1,1
11,0.196143,0.420911,0.29715,0.036004,0.001399,0.312233,53,0.022914,0.00661,-0.00471,1,0
32,0.036264,0.107638,0.09185,-0.020528,0.009238,0.196332,102,-0.041032,0.010516,-0.077157,0,1
23,0.064854,0.170669,0.131728,0.039469,0.011337,0.227612,202,-0.014731,0.006821,-0.036157,1,1
14,0.090039,0.258341,0.107955,-0.018846,0.005172,0.23553,63,0.002083,0.00957,-0.023999,0,0
22,0.063011,0.176541,0.165744,0.094963,0.018997,0.169867,126,0.073199,0.010282,-0.021871,1,0
7,0.226247,0.602465,0.347788,0.13836,0.025084,0.365851,141,-0.008756,0.007822,-0.044198,1,0
6,0.718437,0.885438,1.103541,0.203976,0.008803,0.807149,147,0.005887,0.012636,-0.032097,0,0
8,0.152754,0.432255,0.12432,0.025856,0.005264,0.366985,105,0.008327,0.006414,-0.001177,1,1
15,0.08849,0.256222,0.195791,0.158729,0.032537,0.167732,176,0.039192,0.011732,-0.009678,1,1
5,0.301417,0.717473,0.244078,0.143374,0.009595,1.0,210,-0.015598,0.006819,-0.036678,1,0
12,0.114342,0.306431,0.11636,0.007723,0.001177,0.299011,13,0.067475,0.007153,-0.035369,1,0
25,0.054471,0.153824,0.13248,0.130577,0.009776,0.170319,139,0.039084,0.00613,-0.010779,1,1
41,0.028315,0.082968,0.067856,0.060689,0.004904,0.187686,83,-0.001723,0.006396,-0.018665,1,1
43,0.028256,0.081074,0.058844,0.083708,0.004513,0.164375,48,0.035037,0.008084,-0.051953,1,1
5,0.278015,0.812937,0.425874,-0.077189,0.008225,0.411523,55,-0.059088,0.012709,-0.130793,0,0
12,0.141155,0.381407,0.27316,0.007187,0.001661,0.325999,57,-0.025925,0.007124,-0.036006,0,1
15,0.100711,0.270521,0.242474,0.071806,0.002931,0.257035,98,0.024844,0.00614,0.0,1,0
24,0.058047,0.165872,0.121551,-0.007333,0.004042,0.220304,50,0.022508,0.009388,-0.001557,1,0
6,0.391346,0.898936,0.797873,0.169154,0.036491,0.391346,234,-0.00271,0.010086,-0.064897,1,1
4,0.445234,0.867631,0.390469,0.181619,0.000162,1.0,66,-0.005263,0.008679,-0.040378,1,0
9,0.159442,0.418215,0.237624,-0.069023,0.002903,0.4046,154,-0.011587,0.008335,-0.092631,1,1
44,0.028166,0.080759,0.076297,0.11358,0.008427,0.177576,193,-0.01847,0.006953,-0.055367,0,1
25,0.059866,0.161598,0.134681,0.180115,0.013079,0.187587,116,0.076944,0.007948,0.0,1,1
7,0.195592,0.557275,0.311502,-0.000393,0.010647,0.217536,210,0.077942,0.008969,-0.044223,1,1
5,0.748893,0.914217,1.097786,-0.000174,0.032093,0.797139,151,-0.0491,0.016202,-0.079657,0,1
7,0.752128,0.914987,1.218541,0.068658,0.001124,0.752128,7,0.116646,0.019172,-0.181181,1,0
7,0.231987,0.574942,0.292741,0.095352,0.006494,0.364481,207,-0.000638,0.006746,-0.030828,1,0
13,0.128399,0.347086,0.261644,-0.042279,0.001042,0.237699,8,0.006045,0.008871,-0.046539,1,1
22,0.062538,0.171168,0.142051,-0.11219,0.008273,0.157012,160,-0.041488,0.00773,-0.099683,0,0
9,0.157591,0.459424,0.302358,0.085572,0.00876,0.378222,59,0.053413,0.009484,-0.014341,1,1
8,0.239697,0.652814,0.610461,-0.055084,0.005226,0.278762,185,-0.01218,0.008446,-0.099176,0,0
4,0.46276,0.841287,0.42552,-0.073311,0.014922,1.0,175,-0.022813,0.010729,-0.061238,1,0
4,0.46022,0.9357,0.71916,-0.016597,0.001206,0.46022,7,-0.007362,0.006648,-0.023737,1,0
11,0.135009,0.346443,0.171583,0.194574,0.003314,0.223999,137,0.032861,0.005004,0.0,1,1
37,0.033714,0.099077,0.111623,0.006419,0.012636,0.194937,67,-0.062261,0.012216,-0.066492,0,1
19,0.066728,0.197705,0.116069,0.038354,0.000855,0.235323,20,0.056667,0.008255,0.0,1,1
17,0.089102,0.238285,0.139183,0.020938,0.001358,0.252971,84,-0.030466,0.005044,-0.039258,0,1
39,0.031618,0.094069,0.095394,0.335281,0.021475,0.139907,231,0.077772,0.007128,-0.00786,1,1
40,0.02835,0.083616,0.048892,0.095874,0.002489,0.199376,105,0.072961,0.005344,0.0,1,0
40,0.029219,0.085965,0.067827,0.058779,0.003772,0.1705,53,0.084319,0.009272,-0.011905,1,1
12,0.106144,0.294383,0.100662,0.065919,0.01024,0.275292,111,0.01007,0.008096,-0.00942,1,0
4,0.48354,0.839935,0.46708,0.152084,0.001468,1.0,105,0.017344,0.009741,-0.012417,1,1
14,0.130158,0.313557,0.258677,0.006904,0.004268,0.22615,216,-0.036525,0.004901,-0.041062,0,0
5,0.794617,0.992833,1.189233,0.004007,0.000413,0.794617,231,0.066676,0.008088,0.0,1,0
6,0.509652,0.905158,0.810316,0.2337,0.004475,0.509652,232,0.0453,0.006793,0.0,1,1
8,0.325804,0.713585,0.67784,0.089011,0.007873,0.4402,237,0.069529,0.007685,-0.026098,1,0
22,0.058064,0.16877,0.1462,0.136948,0.006051,0.209179,87,0.080372,0.006142,-0.001837,1,1
9,0.16781,0.441808,0.249646,0.073786,0.002611,0.270984,34,0.043954,0.007898,0.0,1,1
13,0.159293,0.344099,0.244508,0.019897,0.025226,0.389045,200,0.086221,0.007814,-0.035842,1,1
38,0.033895,0.098052,0.102356,0.028578,0.011684,0.198351,228,0.000153,0.007037,-0.024793,1,0
15,0.091447,0.251471,0.161546,0.070286,0.004509,0.348706,78,0.077349,0.009028,0.0,1,1
14,0.094995,0.272445,0.141738,0.282545,0.047337,0.230936,125,0.029775,0.015976,-0.015276,1,1
23,0.060232,0.173582,0.16235,0.031705,0.000948,0.181912,21,0.017227,0.005976,-0.002535,1,1
21,0.063527,0.173761,0.114576,0.045529,0.003099,0.192693,168,0.019295,0.005298,-0.013896,1,0
13,0.111256,0.296473,0.15047,-0.017325,0.009973,0.20894,87,-0.020056,0.011314,-0.062565,0,1
12,0.115442,0.319614,0.15677,0.031878,0.000928,0.23183,24,0.053095,0.005624,0.0,1,0
3,0.512961,1.0,0.659414,-0.068061,0.001192,0.512961,20,-0.016132,0.008256,-0.052698,1,0
15,0.114062,0.288141,0.233175,0.104389,0.007239,0.214382,123,0.084462,0.00536,-0.010885,1,1
4,0.507041,0.871139,0.514081,0.042607,0.003387,0.507041,126,0.049277,0.007992,-0.003669,1,0
9,0.142441,0.399158,0.172285,0.102325,0.004303,0.361316,158,0.03197,0.005485,-0.014709,1,0
14,0.125379,0.309508,0.218345,-0.00965,0.000449,0.20731,27,0.026173,0.005601,-0.018869,1,0
14,0.107474,0.280588,0.142539,0.045386,0.002599,0.316336,20,0.00754,0.010218,-0.003202,0,0
7,0.422021,0.927347,1.003165,0.093478,0.022607,0.422021,230,-0.03225,0.008556,-0.055561,0,1
39,0.030844,0.091243,0.071465,-0.024978,0.00594,0.177323,45,-0.022813,0.010729,-0.061238,1,0
4,0.797565,0.996129,1.095129,0.098264,0.001387,0.797565,60,-0.095369,0.012733,-0.150347,0,1
5,0.54626,0.815766,0.692521,0.023424,0.004215,0.681425,97,-0.006175,0.007001,-0.030169,1,0
4,0.358614,0.89577,0.355128,0.015271,0.001028,1.0,31,0.036562,0.014667,-0.088535,0,0
8,0.24358,0.550871,0.351742,0.046512,0.017835,0.425269,223,0.02557,0.010652,0.0,0,1
5,0.408248,0.838515,0.689343,0.189641,0.02379,1.0,113,0.087986,0.009524,-0.012873,1,1
5,0.427779,0.817304,0.575277,0.033587,0.000481,0.427779,77,-0.020087,0.006717,-0.066881,0,1
15,0.110545,0.296676,0.227787,0.072932,0.002813,0.193479,45,0.04939,0.0086,-0.01149,1,1
18,0.066104,0.195471,0.078021,-0.031979,0.005124,0.279987,80,-0.021287,0.007988,-0.086739,0,0
4,0.705688,0.994498,0.956134,-0.033816,0.001648,0.705688,189,0.057781,0.005274,-0.029518,1,0
15,0.101773,0.259555,0.142053,0.08181,0.010377,0.273319,125,0.040363,0.007928,-0.050883,0,0
8,0.629631,0.775347,1.009263,-0.016439,0.001232,0.629631,64,-0.049049,0.007276,-0.080287,0,0
5,0.524254,0.805362,0.648509,0.037807,0.00229,1.0,36,0.061356,0.010149,-0.020433,1,1
19,0.078856,0.206619,0.135872,0.068712,0.015453,0.247505,225,0.038795,0.010258,-0.011439,1,0
5,0.296075,0.747496,0.309672,0.183719,0.008981,1.0,204,0.008405,0.010463,-0.021942,1,0
7,0.321203,0.730494,0.603846,-0.138869,0.012701,0.410047,181,-0.011918,0.011738,-0.104254,1,0
8,0.498996,0.755945,0.762111,0.007632,0.001768,0.498996,116,-0.014761,0.005767,-0.036109,0,1
8,0.189969,0.492045,0.244625,0.226131,0.005997,0.359682,238,0.030011,0.009023,-0.0209,1,1
7,0.864332,0.969025,1.44295,0.1885,0.00042,0.864332,154,0.049055,0.004136,-0.015917,1,1
7,0.295533,0.629565,0.408843,0.18715,0.00614,0.295533,225,-0.047429,0.008368,-0.072456,0,1
5,0.376557,0.803817,0.524271,0.085666,0.002576,1.0,136,0.038392,0.005148,-0.001158,1,0
8,0.380175,0.699266,0.648532,0.121003,0.004493,0.380175,199,0.068683,0.006661,0.0,1,0
8,0.438173,0.751927,0.753853,0.024271,0.000769,0.60779,24,0.027819,0.008783,-0.010315,1,0
7,0.270279,0.581893,0.321279,0.014922,0.002288,0.405818,104,-0.043019,0.008046,-0.088068,0,0
8,0.304314,0.729205,0.708411,0.049717,0.005122,0.304314,137,0.008362,0.008632,-0.019123,0,0
41,0.029846,0.086266,0.08516,0.089669,0.009236,0.151444,84,-0.036395,0.00996,-0.058315,1,1
4,0.330834,0.813198,0.170348,0.060677,0.002268,1.0,84,0.083653,0.007638,-0.021107,1,1
8,0.263368,0.591399,0.442077,0.18135,0.014469,0.46788,234,0.028284,0.007932,-0.031829,1,1
6,0.666973,0.964447,1.17039,-0.004604,0.001635,0.670072,83,-0.031912,0.007891,-0.050874,0,0
23,0.069593,0.17424,0.159444,-0.035795,0.023982,0.23078,162,-0.004617,0.010039,-0.094877,0,0
34,0.033541,0.099515,0.058602,0.120727,0.00562,0.177431,158,0.013926,0.006475,0.0,1,1
19,0.069743,0.199698,0.129576,0.167946,0.004744,0.328117,111,0.039035,0.008109,-0.019636,1,0
7,0.202776,0.578723,0.300304,0.060002,0.014139,0.402828,221,0.032372,0.010568,0.0,1,1
21,0.064111,0.186534,0.15246,0.137973,0.003574,0.230036,57,0.071022,0.006,-0.003634,1,1
4,0.370881,0.857953,0.388761,0.050058,0.00071,1.0,151,0.0453,0.006793,0.0,1,1
7,0.61085,0.901255,1.000695,0.142576,0.00058,0.61085,111,0.00835,0.005671,-0.013677,1,0
19,0.066739,0.195327,0.123982,0.092736,0.012465,0.198358,178,-0.005963,0.006753,-0.041106,1,0
16,0.078859,0.222852,0.123049,-0.006184,0.000796,0.286113,53,-0.029211,0.004855,-0.036305,1,0
14,0.120473,0.326318,0.257416,0.199485,0.010079,0.216095,76,0.190768,0.012187,-0.109032,1,1
8,0.344179,0.760566,0.812751,0.00506,0.001311,0.344179,27,0.0129,0.008654,-0.017174,1,1
9,0.158671,0.430968,0.196771,0.244982,0.010799,0.347721,134,0.028653,0.007533,-0.006508,1,1
14,0.101692,0.28137,0.209483,0.450888,0.061595,0.228684,230,-0.028802,0.01397,-0.041215,0,1
10,0.161738,0.397496,0.235573,0.003672,0.00259,0.263066,127,-0.000686,0.005937,-0.013471,1,0
19,0.070243,0.199271,0.133176,0.064361,0.004784,0.215058,91,0.032554,0.00619,-0.007995,1,0
3,0.644578,1.0,0.622489,0.011854,0.000427,0.644578,14,-0.032885,0.012492,-0.087258,0,0
12,0.134409,0.344575,0.202472,0.040741,0.005007,0.1926,52,0.078396,0.006901,-0.027643,1,1
35,0.037546,0.11031,0.137306,-0.002192,0.026563,0.21644,197,-0.065164,0.011604,-0.085886,0,0
4,0.684507,0.990493,0.947713,0.022583,0.019034,0.684507,220,0.040797,0.008055,-0.01245,1,0
6,0.404297,0.91502,0.831102,-0.004739,0.00062,0.516629,8,-0.008567,0.006318,-0.017781,0,1
13,0.089981,0.265934,0.090111,-0.010696,0.000771,0.253646,13,0.041397,0.008087,-0.060433,1,1
9,0.131386,0.390205,0.145592,-0.021775,0.011883,0.497459,126,-0.006715,0.007267,-0.022386,1,1
13,0.101516,0.28944,0.147879,0.022347,0.010906,0.426134,168,-0.071989,0.007066,-0.091702,0,0
5,0.688624,0.904754,0.977247,0.117519,0.006364,0.796652,206,-0.056152,0.011175,-0.075272,0,1
6,0.339978,0.782277,0.651129,-0.088734,0.009032,1.0,178,0.00233,0.007348,-0.044813,0,0
9,0.200565,0.490545,0.34112,0.074422,0.069834,0.294388,204,0.083456,0.017558,-0.031948,1,0
9,0.139722,0.4047,0.204041,0.01827,0.009093,0.265449,160,0.012023,0.006048,-0.004481,1,0
4,0.389445,0.798315,0.27889,-0.10548,0.014457,1.0,188,0.020368,0.00884,-0.013753,1,0
25,0.059377,0.166316,0.175677,-0.077903,0.008973,0.230199,146,-0.014707,0.00778,-0.067344,0,0
22,0.058712,0.172138,0.120813,-0.026218,0.008999,0.297509,133,-0.006016,0.007005,-0.025254,0,1
3,0.446483,1.0,0.393072,0.18238,0.00521,0.446483,193,0.002596,0.010176,-0.019933,1,0
12,0.125456,0.352188,0.257964,-0.049113,0.011357,0.26708,99,0.022966,0.010783,-0.096414,1,1
5,0.462396,0.891727,0.692472,0.335007,0.020183,0.462396,203,0.022893,0.013655,-0.041725,1,0
5,0.450675,0.826004,0.545604,-0.269175,0.065188,0.450675,134,-0.09677,0.01666,-0.11947,0,1
7,0.447442,0.728653,0.612053,0.361465,0.0435,0.447442,178,-0.03755,0.013978,-0.044199,1,1
6,0.345413,0.735312,0.470623,0.045569,0.009726,1.0,132,-0.010124,0.010155,-0.032269,0,0
3,0.707457,1.0,0.748248,-0.023762,0.000195,0.707457,31,-0.036349,0.006633,-0.089992,1,0
6,0.644247,0.854249,0.95516,0.212453,0.004813,0.771366,151,0.017738,0.006558,0.0,1,1
4,0.591232,0.961105,0.740426,0.079431,0.003409,1.0,84,0.052525,0.006922,-0.002757,1,1
4,0.539178,0.861467,0.578356,-0.059729,0.018992,1.0,196,0.097467,0.018636,-0.179748,1,1
5,0.473966,0.835846,0.617634,0.099528,0.006592,0.473966,161,-0.006524,0.007786,-0.015266,1,1
12,0.11569,0.312764,0.132266,0.244681,0.021012,0.236231,224,0.015417,0.008522,-0.012477,1,1
10,0.14255,0.383261,0.181534,0.055218,0.003251,0.347612,27,0.050243,0.013252,-0.010343,1,1
22,0.067361,0.173317,0.106713,0.143138,0.006022,0.184518,127,0.083433,0.009148,0.0,1,1
12,0.099219,0.294556,0.129889,-0.052966,0.009475,0.240619,140,-0.064359,0.012976,-0.100992,0,1
8,0.213648,0.571856,0.411433,-0.008585,0.003284,0.33154,64,0.063154,0.010049,-0.022801,0,1
9,0.257389,0.589551,0.535196,0.083409,0.027245,0.286276,99,0.026946,0.008285,-0.000203,1,0
23,0.056885,0.167587,0.144645,0.026411,0.015469,0.2948,143,0.092465,0.010565,-0.012291,1,1
8,0.201382,0.543836,0.354386,0.192293,0.041039,0.299131,179,-0.058571,0.009917,-0.069294,0,1
41,0.032815,0.089079,0.085954,0.151632,0.009581,0.177194,139,0.031441,0.00809,0.0,1,1
21,0.060678,0.176497,0.136554,0.035074,0.006974,0.200978,192,0.059746,0.006138,-0.005148,1,0
5,0.284501,0.724613,0.249225,0.02721,0.00692,0.284501,228,0.016288,0.009924,-0.0131,1,0
9,0.580489,0.796816,1.002426,0.199032,0.01964,0.648999,174,-0.00084,0.005975,-0.019693,0,1
5,0.511801,0.85726,0.623602,-0.216125,0.009865,0.511801,56,-0.146698,0.014333,-0.154571,0,0
22,0.059564,0.175509,0.185226,0.28649,0.037686,0.203213,221,0.070965,0.014677,-0.004799,1,1
8,0.234184,0.616746,0.483493,0.013354,0.000751,0.391335,38,0.035021,0.00751,-0.006573,1,0
13,0.099912,0.272428,0.118277,0.39096,0.01679,0.324687,160,0.038444,0.007837,-0.0108,1,1
23,0.061179,0.173736,0.154244,0.161665,0.006715,0.182933,181,-0.005659,0.006182,-0.024315,1,0
12,0.132199,0.320456,0.147087,-0.003179,0.001892,0.363977,31,0.010569,0.00872,-0.023159,1,0
13,0.138915,0.385726,0.347332,0.263555,0.083547,0.306566,214,0.030011,0.015399,0.0,1,1
4,0.692522,0.956027,0.885044,0.018581,0.01081,0.692522,171,0.014477,0.010316,-0.042975,1,1
6,0.2873,0.704669,0.409338,0.068785,0.002977,1.0,95,0.119447,0.005582,-0.001771,1,1
8,0.41171,0.840854,0.931708,0.061357,0.001764,0.427822,143,0.043611,0.005677,-0.014288,1,0
7,0.226084,0.572335,0.296367,0.251944,0.028149,0.276546,76,0.066767,0.014741,-0.187457,1,1
8,0.17736,0.493705,0.293295,0.098537,0.015613,0.284906,197,-0.020345,0.004888,-0.031618,1,0
15,0.10758,0.28543,0.265758,0.080602,0.01419,0.258808,200,0.016288,0.009924,-0.0131,1,1
20,0.079954,0.219187,0.240947,-0.145614,0.044107,0.18598,77,0.028099,0.020725,-0.268805,1,0
5,0.404148,0.824678,0.500986,0.028859,0.007716,0.545955,55,-0.076899,0.013318,-0.125879,0,1
16,0.099731,0.255615,0.172229,0.127336,0.016451,0.234953,139,0.029734,0.010358,0.0,0,1
6,0.264611,0.605575,0.21178,-0.034943,0.008545,1.0,97,-0.075496,0.008918,-0.084027,0,0
5,0.355708,0.807856,0.417504,0.014136,0.003806,1.0,232,0.070215,0.008912,-0.008785,1,1
4,0.601964,0.995105,0.851992,0.028074,0.007906,0.601964,181,0.10011,0.006115,-0.004034,1,0
6,0.326764,0.746445,0.546059,0.099962,0.000563,0.326764,108,0.01132,0.005097,-0.032864,1,0
8,0.156111,0.425672,0.115969,0.061399,0.006441,0.28647,123,0.008963,0.006752,-0.026629,1,1
7,0.516062,0.908263,0.959384,-0.107069,0.022605,0.548952,161,-0.08718,0.014491,-0.098181,0,0
19,0.08134,0.22305,0.185114,-0.046645,0.022985,0.213076,140,-0.027019,0.010192,-0.105137,0,1
7,0.378091,0.803272,0.823292,0.10486,0.007306,0.452738,90,0.006336,0.010694,-0.039336,1,0
6,0.23211,0.6168,0.242599,0.066283,0.003174,0.306256,55,0.08994,0.006208,-0.009835,1,1
10,0.22754,0.490349,0.402226,0.007789,0.004119,0.338304,211,0.024249,0.00596,-0.025591,1,0
8,0.231063,0.513861,0.279306,0.093418,0.019199,0.236173,104,0.059048,0.014765,0.0,1,0
5,0.29756,0.737523,0.286552,0.010831,0.003924,1.0,181,0.026843,0.006597,-0.007409,1,0
9,0.452901,0.751435,0.900272,0.03387,0.004979,0.683337,161,-0.014997,0.007266,-0.036285,1,0
14,0.114433,0.297138,0.25819,0.006014,0.010671,0.216178,237,0.018442,0.00907,-0.019463,1,0
6,0.319479,0.69019,0.380379,-0.011492,0.004187,0.331826,83,-0.011931,0.009648,-0.034666,0,0
18,0.090385,0.23502,0.189973,0.170428,0.014277,0.203073,199,0.021343,0.008359,-0.033707,1,1
4,0.423363,0.968762,0.485494,0.050149,0.0031,0.773985,85,0.008613,0.012682,-0.024313,0,0
4,0.322029,0.792995,0.154986,0.007239,0.006872,1.0,154,0.003714,0.006781,-0.021411,1,1
5,0.358503,0.875522,0.551044,-0.010731,0.00245,1.0,20,0.086648,0.00818,-0.000733,1,1
13,0.104538,0.307921,0.237455,0.13988,0.011566,0.241792,151,-0.005753,0.010131,-0.018777,0,1
17,0.078388,0.220908,0.151153,0.135768,0.011742,0.264668,147,0.077373,0.009167,-0.022004,1,1
4,0.291853,0.821539,0.143078,0.085758,0.00255,1.0,224,0.002927,0.008686,-0.094823,0,0
14,0.098093,0.277559,0.192438,0.152408,0.015385,0.213686,148,-0.025917,0.008372,-0.05208,1,1
5,0.365961,0.929397,0.658794,0.027131,0.000523,0.365961,52,0.024163,0.005306,-0.011836,1,0
8,0.190364,0.459574,0.172353,0.140016,0.015516,0.308307,129,0.009079,0.007487,-0.024888,1,1
12,0.097487,0.289711,0.113945,0.087926,0.013504,0.276491,141,0.022875,0.010694,-0.005534,1,0
10,0.169963,0.413531,0.239,-0.045155,0.006263,0.215085,34,-0.070241,0.015785,-0.096984,0,0
4,0.590449,0.978864,0.861559,0.099503,0.002146,0.659669,154,0.011865,0.004721,-0.007181,1,1
4,0.581309,0.988805,0.953017,0.024252,0.002531,0.581309,13,-0.023122,0.011347,-0.060778,0,0
4,0.680505,0.959422,0.861009,-0.106764,0.002205,0.680505,50,-0.071903,0.007206,-0.094329,0,0
4,0.668333,0.996621,0.944051,0.684094,0.02355,0.668333,218,0.086029,0.008909,-1.4e-05,1,1
8,0.33647,0.775991,0.801983,0.05037,0.00228,0.356322,216,0.049921,0.005832,-0.019112,1,0
5,0.878894,0.967414,1.357788,0.187181,0.007784,0.88961,94,0.047103,0.013951,-0.046387,1,1
9,0.175967,0.454464,0.266594,0.183517,0.007257,0.19121,95,0.035143,0.007829,-0.00081,1,1
5,0.390485,0.748134,0.38097,0.026238,0.001056,1.0,113,0.004006,0.00644,-0.019951,1,0
5,0.264005,0.696423,0.192847,0.08465,0.001222,1.0,8,0.064175,0.009093,0.0,1,1
20,0.074129,0.203389,0.167523,-0.083677,0.012044,0.203435,195,-0.02559,0.008125,-0.085252,0,0
25,0.062971,0.158408,0.101261,0.014633,0.003907,0.210963,29,-0.040745,0.01356,-0.040745,1,1
6,0.36693,0.671814,0.400527,-0.010578,0.001852,1.0,53,0.00202,0.00986,-0.016703,1,1
4,0.298211,0.832613,0.182847,0.045283,0.005322,1.0,90,0.015201,0.008812,-0.013224,1,0
23,0.072556,0.198288,0.219829,0.520294,0.069112,0.190497,225,0.0891,0.012933,-0.00043,1,1
23,0.056039,0.164759,0.132651,0.010875,0.002163,0.184629,55,-0.029586,0.006357,-0.053459,1,0
6,0.262528,0.678457,0.356914,0.008343,0.006812,0.294146,52,0.067464,0.017966,-0.056172,1,0
20,0.072623,0.189328,0.107559,0.157234,0.005615,0.250238,78,0.027819,0.008783,-0.010315,1,1
8,0.23452,0.52932,0.308639,0.021159,0.009285,0.342108,174,0.01199,0.004679,-0.015258,1,0
7,0.271358,0.752722,0.6483,0.13876,0.023967,0.292163,185,0.104493,0.006222,-0.002172,1,1
4,0.548477,0.892335,0.596953,0.125914,0.003343,1.0,150,-0.036035,0.007716,-0.048778,1,1
4,0.343659,0.832928,0.241789,0.099467,0.009671,0.343659,42,0.072481,0.009008,0.0,1,1
4,0.398058,0.951013,0.55237,0.081951,0.002693,0.427114,195,-0.036525,0.004901,-0.041062,0,0
17,0.082795,0.23488,0.149185,0.102517,0.028976,0.221346,151,0.081532,0.014987,-0.00141,1,0
38,0.030671,0.090862,0.069858,-0.045052,0.004526,0.180082,71,-0.03083,0.008146,-0.102592,0,0
5,0.343711,0.740621,0.318995,-0.04261,0.00039,0.343711,11,0.011982,0.006171,-0.02889,1,0
3,0.783825,1.0,0.900983,0.125954,0.016659,0.783825,211,-0.025409,0.010707,-0.088783,1,1
6,0.234338,0.665956,0.331912,-0.077913,0.010045,0.384989,218,0.099048,0.009399,0.0,1,0
15,0.077858,0.232102,0.132435,0.170452,0.007473,0.220568,199,0.03006,0.00562,0.0,1,1
5,0.338182,0.729149,0.280703,-0.01244,0.010805,1.0,148,0.013834,0.008867,-0.085641,0,0
15,0.094656,0.254849,0.132904,0.014296,0.002912,0.196605,57,-0.022452,0.00737,-0.032238,1,0
4,0.328351,0.849007,0.288848,-0.023735,0.001108,0.328351,39,0.015275,0.009813,-0.016817,1,0
3,0.943877,1.0,1.221088,0.029638,0.000191,0.943877,22,0.015796,0.008084,-0.038357,1,0
5,0.584036,0.937398,0.930936,0.225469,0.016899,0.612126,164,0.094262,0.008318,0.0,1,1
5,0.422435,0.795813,0.51846,-0.073673,0.00409,1.0,213,-0.05583,0.009577,-0.093929,0,0
7,0.333699,0.775958,0.727696,0.175016,0.002162,0.333699,146,0.003909,0.006544,-0.014672,1,1
25,0.053118,0.151847,0.105773,0.207343,0.011804,0.207987,221,0.017734,0.007206,-0.014212,1,0
40,0.03542,0.097195,0.121041,-0.053261,0.017734,0.189367,237,-0.023109,0.006832,-0.063696,0,1
19,0.06385,0.185032,0.083915,0.022568,0.00186,0.155185,49,0.030816,0.006048,0.0,1,0
13,0.110086,0.316387,0.203092,0.012387,0.010864,0.375888,35,-0.027725,0.016823,-0.05577,0,1
4,0.446081,0.892835,0.408528,-0.071397,0.001435,0.446081,50,-0.001542,0.008089,-0.033179,0,0
4,0.709468,0.967682,0.918936,0.234317,0.000194,0.709468,237,-0.005037,0.006399,-0.01962,1,0
4,0.444875,0.871387,0.454676,-0.026384,6.2e-05,1.0,22,-0.005963,0.006753,-0.041106,1,1
12,0.105234,0.305477,0.129981,-0.019792,0.016787,0.253095,175,0.088965,0.011582,-0.044991,1,0
